YPR193C,YPL057C,YPL188W,YIL024C
YPR145W,YDR127W,YMR135C,YEL016C
YOR116C,YKL065C,YER005W,YNL113W
YGL208W,YDL193W,YER184C,YDR233C
YNR030W,YER092W,YLR113W,YPR129W
YGL144C,YLR247C,YHR025W,YOL130W
YIL162W,YNL313C,YMR140W,YJL070C
YJL088W,YNL140C,YJL045W,YOR211C
YDR469W,YPL126W,YKR087C,YHR216W
YLR192C,YJR138W,YGL186C,YDR021W
YFR018C,YIL131C,YAL013W,YJR125C
YER082C,YCR037C,YKL076C,YCR045C
YKR065C,YJR019C,YBR108W,YOR004W
YDL171C,Q0250,YOR081C,YOL090W
YJL106W,YOR263C,YOL059W,YKL198C
YCL039W,YEL056W,YPL195W,YDR189W
YBL038W,YIL098C,YKL185W,YOR043W
YLR079W,YHR201C,YJR101W,YML032C
YOR181W,YPL127C,YCL054W,YMR229C
YMR276W,YBR245C,YKL205W,YOR250C
YDL206W,YMR317W,YGR105W,YLR333C
YDR017C,YBR055C,YKL062W,YLR051C
YOR214C,YOR104W,YJR133W,YOR109W
YEL063C,YPR020W,YMR323W,YLR171W
YOL145C,YBR274W,YOR037W,YKL210W
YOR279C,YOR272W,YNL280C,YPL094C
YGR192C,YGR149W,YDR522C,YGR243W
YCR047C,YOL065C,YDR290W,YBR043C
YPR105C,YLR121C,YOL115W,YOR001W
YNR029C,YBR145W,YOL002C,YNL062C
YHR156C,YDL240W,YDR388W,YNL020C
YOR380W,YGL006W,YMR109W,YIL021W
YNR056C,YJR051W,YER040W,YAL016W
YDR435C,YOR101W,YNL261W,YLR233C
YIL064W,YLL002W,YBL106C,YKL054C
YCL024W,YBR185C,YBL024W,YER149C
YGR113W,YBR093C,YOR384W,YDR524C
YLR056W,YLR006C,YLR255C,YOL128C
YHR103W,YKL073W,YOR023C,YLR034C
YBR180W,YFL065C,YNL304W,YDL139C
R0030W,YJL209W,YJL060W,YJR043C
YKL145W,YKL224C,YDL188C,YLR019W
YKR082W,YPL169C,YLR190W,YIL038C
YKL058W,YIL138C,YOR188W,YDL019C
YNR017W,YIL096C,YHR058C,YIL008W
YPR103W,YGR068C,YER142C,YPL153C
YOR226C,YFL055W,YDR039C,YNL105W
YGR263C,YDL007W,YDL012C,YGR222W
YGR221C,YPL251W,YKL022C,YDR196C
YOL064C,YBL036C,YLR080W,YLR465C
YGL150C,YPR081C,YGL239C,YJR110W
YMR108W,YJR097W,YOR100C,YPR154W
YDR216W,YEL002C,YDR045C,YGR161W-B
YDL087C,YCR065W,YLR106C,YGR132C
YDL161W,YNR043W,YPR180W,YOR205C
YCL069W,YMR189W,YBL092W,YHR050W
YOR325W,YPL229W,YDR403W,YDL176W
YJR098C,YGL241W,YGR293C,YOL075C
YLR194C,YOR112W,YKL157W,YLL027W
YMR025W,YOR118W,YCR052W,YER143W
YPL166W,YOR053W,YMR069W,YER139C
YMR255W,YKL202W,YIL093C,YBR159W
YDR105C,YLR180W,YMR290C,YOR265W
YKL001C,YPR157W,YDR455C,YER150W
YER168C,YML028W,YDR068W,YDR071C
YJL043W,YHR001W,YKR058W,YKL165C
YNL171C,YLR222C,YDL047W,YIL128W
YAL015C,YBR175W,YHR081W,YMR287C
YKR066C,YNR032W,YDL134C,YGL127C
YDR386W,YNL103W,YMR048W,YLR240W
YML029W,YKL051W,YDR076W,YOL014W
YIR026C,YHR214W-A,YER060W-A,YHR065C
YLR057W,YLR351C,YKL112W,YPR123C
YDR254W,YMR139W,YNL309W,YDL117W
YPR132W,YGR262C,YNL147W,YMR240C
YPL064C,YLR363W-A,YHR032W,YDR324C
YBR197C,YLR202C,YGL170C,YJL122W
YKL025C,YHL020C,YOR307C,YLR439W
YML014W,YGR235C,YPR174C,YDL216C
YLR262C,YBL016W,YCR046C,YLL049W
YOR071C,YNL145W,YDR159W,YGL008C
YHR070W,YCL063W,YHR193C,YFL004W
YNL175C,YLR066W,YOR273C,YKR072C
YJL016W,YML081C-A,YNL321W,YDR538W
YLR142W,YCR087C-A,YER055C,YGL030W
YLR140W,YEL074W,YLR166C,YMR131C
YFL009W,YKR038C,YLR044C,YJL196C
YDR285W,YLR135W,YBR088C,YBL020W
YGL049C,YNL094W,YGL100W,YBR301W
YHR015W,YKL129C,YIL075C,YGR229C
YMR234W,YKL028W,YHR183W,YGR076C
YLR430W,YBR124W,YLR129W,YOR007C
YLR016C,YOL088C,YGR203W,YJL044C
YKL108W,YPL179W,YOR241W,YIL061C
YML062C,YMR096W,YMR197C,YER014W
YLR356W,YFL024C,YDL209C,YMR124W
YCL028W,YPL259C,YEL015W,YKL189W
YML104C,YOR142W-A,YHR190W,YOR122C
YHR118C,YLR216C,YBR155W,YDR091C
YKR061W,YCR053W,YOR308C,YNR026C
YBR287W,YJR091C,YGR199W,YCR086W
YOR375C,YIL048W,YNL236W,YDR261W-B
YDR128W,YPL272C,YGR202C,YGL263W
YDR422C,YPR152C,YBR277C,YDR454C
YBR069C,YGL157W,YIL132C,YHR053C
YDR389W,YGR036C,YLR313C,YIL020C
YOL095C,YGL156W,YNR008W,YPR008W
YGL226C-A,YCL073C,YDR118W,YGR174C
YKL034W,YGL207W,YGR081C,YCL049C
YFR017C,YBR157C,YLR099C,YLR248W
YLR378C,YPR030W,YBR094W,YIL115C
YBL008W,YGR215W,YPL077C,YER064C
YAR042W,YMR280C,YDR526C,YLR226W
YLR352W,YKL107W,YJL100W,YDR333C
YNL148C,YLR285W,YHR011W,YAR035W
YBL061C,YJR021C,YKL204W,YBR056W
YDR440W,YGL090W,YAR002C-A,YIL034C
YLR289W,YDL157C,YDL212W,YOR334W
YLR065C,YPR124W,YFR046C,YMR119W
YOR172W,YIL139C,YNL035C,YLR410W-B
YKR099W,YER167W,YOR029W,YJR154W
YOR299W,YBL015W,YNL058C,YLR070C
YLR304C,YBL040C,YDR010C,YCL048W
YDL112W,YDR428C,YNL065W,YGR075C
YOR231W,YJR002W,YGL032C,YKR008W
YNL219C,YGR134W,YBR177C,YLR346C
YOL146W,YPL116W,YLL022C,YIL023C
YJL142C,YKL109W,YAL011W,YGR254W
YDL028C,YPL234C,YDR500C,YOR266W
YOR086C,YGL083W,YJL075C,YHR205W
YLR268W,YPR094W,YGR139W,YNL039W
YOR359W,YOR270C,YLR334C,YPL025C
YPL161C,YAL005C,YDL221W,YNL070W
YPR203W,YDR441C,YGL081W,YBL039C
YOR042W,YBR226C,YGR160W,YLR127C
YHL008C,YHR174W,YKL008C,YDL106C
YDL156W,YOR097C,YDR464W,YDR345C
YDR072C,YBL097W,YPR095C,YLL067W-A
YCL056C,YNL235C,YER120W,YKR006C
YHL019C,YIL150C,YOR339C,YHR106W
YOR285W,YOR264W,YGR116W,YMR282C
YGL074C,YHR036W,YEL049W,YGL132W
YLR038C,YML009C,YOR227W,YDR028C
YGR091W,YFL014W,YMR230W,YOR221C
YHR062C,YAR073W,YMR047C,YBL113C
YJL072C,YMR078C,YMR033W,YOR174W
YDR311W,YAR033W,YNR050C,YBR011C
YCL059C,YPL037C,YOR385W,YDR307W
YDR370C,YJL166W,YNL284C,YHR124W
YNL091W,YKR089C,YML010W,YAR071W
YJL202C,YNL019C,YJR083C,YDR103W
YJL048C,YDR186C,YDR452W,YIR042C
YER036C,YLR330W,YER008C,YIL130W
YNL295W,YML117W,YIL152W,YMR203W
YGR255C,YCL008C,YLR409C,YPL108W
YHL010C,YGL149W,YCR004C,YNL333W
YGL097W,YGR031W,YJR024C,YLL003W
YPL242C,YOL024W,YCL036W,YLR082C
YMR001C,YKL180W,YGL075C,YMR221C
YDL172C,YPR178W,YGR143W,YPL092W
YPL059W,YPR167C,YJR016C,YOR229W
YIL110W,YMR186W,YMR088C,YGL166W
YPL011C,YDL060W,YDR273W,YLR320W
YGR217W,YBR125C,YMR319C,YGL112C
YDL089W,YLR120C,YDR498C,YOR366W
YDR236C,YNL202W,YJL201W,YHR136C
YGL079W,YGR245C,YPR054W,YDR530C
YLR234W,YNL021W,YLR153C,YKR079C
YGR177C,YDL130W,YGR085C,YCR087W
YOR338W,YNL071W,YLR104W,YPL090C
YPL200W,YLL012W,YLR058C,YOR288C
YKR060W,YLR085C,YLR220W,YER078C
YOL143C,YOR063W,YCL010C,YBR034C
YIL013C,YMR063W,YJR056C,YDR060W
YJR120W,YGR266W,YPL097W,YLR344W
YPR137C-A,YEL020W-A,YGR191W,YDR074W
YBL053W,YCR050C,YBR227C,YHR196W
YDL199C,YDR351W,YAL018C,YOR333C
YDL072C,YEL061C,YMR247C,YNL006W
YKL057C,YPL111W,YJR066W,YOR275C
YOR356W,YOR191W,YMR103C,YPL174C
YGL122C,YDL226C,YDR055W,YJL164C
YGR021W,YDR529C,YML069W,YDR212W
YOR284W,YGR020C,YPR019W,YOR239W
YHL042W,YMR269W,YDL149W,YDL241W
YPL213W,YPL224C,YOR178C,YOL100W
YLR350W,YBR105C,YAL043C,YLR096W
YPL255W,YER165W,YLR322W,YOR274W
YJL146W,YNL277W,YBR218C,YJL061W
YOR392W,YPR108W,YGR182C,YKL104C
YFL036W,YDR063W,YPL101W,YNL218W
YGL148W,YNL314W,YKL072W,YDR517W
YHL006C,YDR062W,YLL030C,YBR131W
YDL051W,YNL128W,YAL022C,YJL157C
YPL257W-B,YHR188C,YKL219W,YDL053C
YNL229C,YBR279W,YLR420W,YJR012C
YBR021W,YDL189W,YDR407C,YJR157W
YJL074C,YPL132W,YCR005C,YJL211C
YEL057C,YDR126W,YLR130C,YBR070C
YBR276C,YGL189C,YGR070W,YLR063W
YLR329W,YNR006W,YDL183C,YCR011C
YBR102C,YJR008W,YGL205W,YAL029C
YDR316W,YCR012W,YPL001W,YDR162C
YER161C,YIL154C,YNL251C,YBR260C
YER086W,YJL031C,YDR221W,YKR064W
YEL055C,YER018C,YLR067C,YIL104C
YOR259C,YHR038W,YGR018C,YGL005C
YDR368W,YPR176C,YMR002W,YOR244W
YNL159C,YLR088W,YJL174W,YKL018W
YIL009W,YLR429W,YDR298C,YJL042W
YLR355C,YNL024C,YDL065C,YJL087C
YLR002C,YML064C,YJL163C,YGL106W
YER026C,YPL162C,YLR132C,YJL081C
YIL077C,YCR030C,YOR341W,YMR171C
YLR297W,YDL066W,YOL093W,YMR094W
YKL004W,YOL068C,YMR215W,YOL103W
YGR117C,YKL007W,YMR155W,YAL066W
YDL095W,YNL038W,YFL029C,YMR116C
YBL005W-B,YBR252W,YAL035W,YIL068C
YDR415C,YNL102W,YDR261W-A,YER166W
YIL172C,YNL271C,YLR393W,YJR146W
YDR253C,YCL042W,YJR089W,YFL017W-A
YEL039C,YAL010C,YMR106C,YBR296C
YNL007C,YKR093W,YNR007C,YPR036W
YBR267W,YOR059C,YHR090C,YBL089W
YPL172C,YDR056C,YJR035W,YPR148C
YOR230W,YGR240C,YLR012C,YJR140C
YMR058W,YGL068W,YOR233W,YML120C
YJR158W,YAR002W,YER124C,YIR017C
YDL128W,YKL090W,YBR262C,YIL151C
YBR235W,YLR036C,YCR092C,YDR024W
YPR005C,YER032W,YPR003C,YMR244W
YKL183W,YNL239W,YBR295W,YGL190C
YDR167W,YDR419W,YCR099C,YGL017W
YJL108C,YNL142W,YGL110C,YKL161C
YJR124C,YER181C,YLR436C,YMR158W
YIL084C,YDL002C,YOR120W,YMR292W
YOL154W,YLR033W,YKR073C,YHR132C
YMR150C,YDL077C,YGR171C,YNL300W
YDR507C,YPL091W,YER073W,YNR045W
YHL030W,YLR090W,YBR106W,YLR146C
YJL222W-B,YIL169C,YBR077C,YGR264C
YKL099C,YDL154W,YLR261C,YPL130W
YPR160W,YPR063C,YEL053C,YNR059W
YOL094C,YLR413W,YDR225W,YLR399C
